CustomerID,Gender,Income,SpendingScore,EducationLevel,MaritalStatus,PurchaseFrequency,ProductCategory,LoyaltyScore,EmploymentStatus,HouseholdSize,CreditScore,OnlineShoppingHabit,DiscountSensitivity,PreferredPaymentMethod,SubscriptionStatus,Income_scaled,SpendingScore_scaled,PurchaseFrequency_scaled,Cluster_Description,Cluster
15,Female,43448.0,74.0,Bachelor,Divorced,1.0,Beauty,37.0,Employed,1.0,749.0,Low,Low,Credit Card,No,-0.4591243552593725,0.8259426331337149,-1.6717212595557431,"Thu nhập thấp nhưng chi tiêu cao, tần suất mua hàng ít. Khách hàng có nhu cầu cao, có thể gợi ý sản phẩm giá phù hợp hoặc chương trình trả góp.",0
16,Female,42815.0,28.0,High School,Single,16.0,Beauty,9.0,Employed,5.0,602.0,Low,High,Cash,No,-0.5015833613108582,-0.7822094472317788,0.1218158198974699,"Thu nhập và chi tiêu đều thấp, tần suất mua hàng trung bình. Nên tập trung vào các chương trình khuyến mãi lớn hoặc ưu đãi giá rẻ.",4
17,Male,56634.0,42.0,Bachelor,Married,6.0,Fashion,58.0,Unemployed,4.0,803.0,Low,High,Credit Card,No,0.4253376570548323,-0.2927718575553242,-1.0738755664046722,"Thu nhập và chi tiêu trung bình, tần suất mua hàng ít. Có thể cá nhân hóa đề xuất sản phẩm dựa trên sở thích và hành vi mua hàng.",1
18,Male,24115.0,73.0,Bachelor,Married,2.0,Fashion,91.0,Student,1.0,798.0,High,Low,Credit Card,No,-1.7559015495617023,0.7909828052996823,-1.552152120925529,"Thu nhập thấp nhưng chi tiêu cao, tần suất mua hàng ít. Khách hàng có nhu cầu cao, có thể gợi ý sản phẩm giá phù hợp hoặc chương trình trả góp.",0
19,Female,23228.0,35.0,Bachelor,Divorced,25.0,Groceries,1.0,Retired,3.0,685.0,Low,High,Cash,No,-1.8153978187049375,-0.5374906523935514,1.1979380675693976,"Thu nhập và chi tiêu đều thấp, tần suất mua hàng nhiều. Nên tập trung vào các chương trình khuyến mãi lớn hoặc ưu đãi giá rẻ.",3
20,Female,47939.0,47.0,Bachelor,Single,4.0,Electronics,3.0,Retired,5.0,755.0,High,Medium,Credit Card,No,-0.15788676256233825,-0.11797271838516184,-1.3130138436651004,"Thu nhập thấp nhưng chi tiêu trung bình, tần suất mua hàng ít. Nên tập trung vào sản phẩm giá cả phải chăng với giá trị cao.",0
21,Female,41875.0,81.0,PhD,Divorced,12.0,Groceries,28.0,Employed,2.0,808.0,Medium,Medium,PayPal,No,-0.56463464991812,1.0706614279719422,-0.3564607346233869,"Thu nhập thấp nhưng chi tiêu cao, tần suất mua hàng trung bình. Khách hàng có nhu cầu cao, có thể gợi ý sản phẩm giá phù hợp hoặc chương trình trả góp.",0
22,Female,66756.0,54.0,Bachelor,Single,8.0,Sports,34.0,Employed,2.0,380.0,Low,Medium,Credit Card,No,1.1042792988449417,0.12674607645306543,-0.8347372891442437,"Thu nhập và chi tiêu trung bình, tần suất mua hàng ít. Có thể cá nhân hóa đề xuất sản phẩm dựa trên sở thích và hành vi mua hàng.",1
23,Female,44409.0,54.0,Bachelor,Single,1.0,Furniture,39.0,Employed,1.0,300.0,Low,Medium,Credit Card,Yes,-0.394664474034289,0.12674607645306543,-1.6717212595557431,"Thu nhập thấp nhưng chi tiêu trung bình, tần suất mua hàng ít. Nên tập trung vào sản phẩm giá cả phải chăng với giá trị cao.",0
24,Male,30405.0,12.0,High School,Married,9.0,Fashion,59.0,Student,1.0,516.0,High,Medium,PayPal,Yes,-1.3339945226046002,-1.3415666925762983,-0.7151681505140295,"Thu nhập và chi tiêu đều thấp, tần suất mua hàng ít. Nên tập trung vào các chương trình khuyến mãi lớn hoặc ưu đãi giá rẻ.",1
25,Male,34731.0,79.0,Bachelor,Single,5.0,Fashion,32.0,Employed,4.0,370.0,Medium,High,Cash,No,-1.0438244433333088,1.0007417723038772,-1.1934447050348862,"Thu nhập thấp nhưng chi tiêu cao, tần suất mua hàng ít. Khách hàng có nhu cầu cao, có thể gợi ý sản phẩm giá phù hợp hoặc chương trình trả góp.",0
26,Male,67827.0,5.0,High School,Single,19.0,Groceries,13.0,Employed,2.0,375.0,Medium,Medium,PayPal,No,1.1761175223538536,-1.5862854874145256,0.4805232357881125,"Thu nhập trung bình, chi tiêu thấp, tần suất mua hàng trung bình. Cần gợi ý sản phẩm thiết yếu có giá hợp lý.",4
27,Male,39055.0,1.0,High School,Married,11.0,Sports,10.0,Employed,2.0,453.0,Medium,Low,Credit Card,No,-0.753788515739905,-1.7261247987506554,-0.47602987325360113,"Thu nhập và chi tiêu đều thấp, tần suất mua hàng trung bình. Nên tập trung vào các chương trình khuyến mãi lớn hoặc ưu đãi giá rẻ.",1
28,Female,44831.0,82.0,Bachelor,Divorced,4.0,Sports,71.0,Employed,2.0,617.0,Medium,Medium,Credit Card,No,-0.36635846999996513,1.1056212558059746,-1.3130138436651004,"Thu nhập thấp nhưng chi tiêu cao, tần suất mua hàng ít. Khách hàng có nhu cầu cao, có thể gợi ý sản phẩm giá phù hợp hoặc chương trình trả góp.",0
29,Male,45459.0,80.0,High School,Single,14.0,Electronics,68.0,Employed,2.0,587.0,Medium,Medium,Credit Card,Yes,-0.32423484314319884,1.0357016001379096,-0.11732245736295852,"Thu nhập thấp nhưng chi tiêu cao, tần suất mua hàng trung bình. Khách hàng có nhu cầu cao, có thể gợi ý sản phẩm giá phù hợp hoặc chương trình trả góp.",0
30,Female,41264.0,93.0,Bachelor,Married,18.0,Groceries,82.0,Employed,4.0,572.0,Medium,High,Credit Card,No,-0.60561798751284,1.4901793619803319,0.3609540971578983,"Thu nhập thấp nhưng chi tiêu cao, tần suất mua hàng trung bình. Khách hàng có nhu cầu cao, có thể gợi ý sản phẩm giá phù hợp hoặc chương trình trả góp.",0
31,Female,54580.0,31.0,High School,Married,3.0,Furniture,61.0,Employed,2.0,692.0,High,Medium,PayPal,No,0.28756388386407117,-0.6773299637296814,-1.4325829822953147,"Thu nhập trung bình, chi tiêu thấp, tần suất mua hàng ít. Cần gợi ý sản phẩm thiết yếu có giá hợp lý.",1
32,Female,76578.0,56.0,High School,Married,25.0,Furniture,94.0,Employed,1.0,594.0,Low,Medium,Credit Card,No,1.7630981889518822,0.1966657321211304,1.1979380675693976,"Thu nhập cao, chi tiêu trung bình, tần suất mua hàng nhiều. Khuyến nghị nâng cấp sản phẩm hoặc dịch vụ để tối ưu trải nghiệm khách hàng.",2
33,Male,58275.0,98.0,High School,Single,11.0,Furniture,63.0,Retired,3.0,763.0,Medium,Low,Credit Card,No,0.5354091087617646,1.664978501150494,-0.47602987325360113,"Thu nhập trung bình nhưng chi tiêu cao, tần suất mua hàng trung bình. Cơ hội upsell tốt với các gói giá trị cao hơn hoặc quảng bá sản phẩm cao cấp.",0
34,Male,62319.0,10.0,High School,Married,10.0,Groceries,30.0,Employed,2.0,717.0,Low,High,Cash,No,0.8066638014508777,-1.4114863482443631,-0.5955990118838153,"Thu nhập trung bình, chi tiêu thấp, tần suất mua hàng ít. Cần gợi ý sản phẩm thiết yếu có giá hợp lý.",1
35,Female,35537.0,67.0,Master,Divorced,7.0,Electronics,22.0,Employed,1.0,359.0,Medium,Medium,Credit Card,No,-0.9897613171445291,0.5812238382954875,-0.954306427774458,"Thu nhập thấp nhưng chi tiêu trung bình, tần suất mua hàng ít. Nên tập trung vào sản phẩm giá cả phải chăng với giá trị cao.",0
36,Female,55574.0,63.0,High School,Single,17.0,Groceries,43.0,Employed,5.0,514.0,Medium,Low,PayPal,Yes,0.3542372677743032,0.44138452695935765,0.2413849585276841,"Thu nhập và chi tiêu trung bình, tần suất mua hàng trung bình. Có thể cá nhân hóa đề xuất sản phẩm dựa trên sở thích và hành vi mua hàng.",0
37,Female,70522.0,25.0,High School,Married,29.0,Furniture,35.0,Student,4.0,838.0,Low,Medium,PayPal,No,1.3568869083076516,-0.8870889307338762,1.6762146220902545,"Thu nhập cao, chi tiêu thấp, tần suất mua hàng nhiều. Có thể cần chiến lược khuyến khích chi tiêu thông qua chương trình ưu đãi hấp dẫn.",4
38,Female,46518.0,6.0,High School,Single,9.0,Fashion,55.0,Retired,4.0,372.0,Medium,Medium,Cash,No,-0.2532015297016136,-1.5513256595804932,-0.7151681505140295,"Thu nhập và chi tiêu đều thấp, tần suất mua hàng ít. Nên tập trung vào các chương trình khuyến mãi lớn hoặc ưu đãi giá rẻ.",1
39,Male,49937.0,47.0,Bachelor,Single,20.0,Groceries,37.0,Employed,5.0,434.0,Low,Medium,Installments,Yes,-0.023869236352435215,-0.11797271838516184,0.6000923744183266,"Thu nhập thấp nhưng chi tiêu trung bình, tần suất mua hàng trung bình. Nên tập trung vào sản phẩm giá cả phải chăng với giá trị cao.",4
40,Male,61455.0,55.0,Master,Married,21.0,Electronics,37.0,Employed,5.0,589.0,Low,High,Cash,No,0.7487102766033521,0.1617059042870979,0.7196615130485409,"Thu nhập và chi tiêu trung bình, tần suất mua hàng nhiều. Có thể cá nhân hóa đề xuất sản phẩm dựa trên sở thích và hành vi mua hàng.",0
41,Female,72949.0,9.0,Bachelor,Single,25.0,Beauty,78.0,Employed,2.0,558.0,High,Low,Cash,No,1.5196799694244858,-1.4464461760783958,1.1979380675693976,"Thu nhập cao, chi tiêu thấp, tần suất mua hàng nhiều. Có thể cần chiến lược khuyến khích chi tiêu thông qua chương trình ưu đãi hấp dẫn.",4
42,Male,67803.0,13.0,Bachelor,Single,9.0,Fashion,77.0,Employed,1.0,390.0,High,Low,Credit Card,No,1.1745077022192,-1.3066068647422657,-0.7151681505140295,"Thu nhập trung bình, chi tiêu thấp, tần suất mua hàng ít. Cần gợi ý sản phẩm thiết yếu có giá hợp lý.",1
43,Female,30985.0,56.0,Bachelor,Single,6.0,Beauty,87.0,Employed,4.0,365.0,High,Medium,Installments,No,-1.295090536017141,0.1966657321211304,-1.0738755664046722,"Thu nhập thấp nhưng chi tiêu trung bình, tần suất mua hàng ít. Nên tập trung vào sản phẩm giá cả phải chăng với giá trị cao.",0
44,Female,55048.0,48.0,Bachelor,Divorced,26.0,Fashion,91.0,Employed,3.0,339.0,Medium,Medium,Credit Card,No,0.3189553764898142,-0.08301289055112937,1.3175072061996118,"Thu nhập và chi tiêu trung bình, tần suất mua hàng nhiều. Có thể cá nhân hóa đề xuất sản phẩm dựa trên sở thích và hành vi mua hàng.",4
45,Male,40904.0,64.0,High School,Divorced,20.0,Furniture,40.0,Unemployed,4.0,801.0,Low,Low,PayPal,No,-0.6297652895326424,0.47634435479339016,0.6000923744183266,"Thu nhập thấp nhưng chi tiêu trung bình, tần suất mua hàng trung bình. Nên tập trung vào sản phẩm giá cả phải chăng với giá trị cao.",0
46,Male,45181.0,49.0,Bachelor,Single,4.0,Fashion,64.0,Employed,4.0,702.0,Low,High,Installments,No,-0.34288192636960174,-0.0480530627170969,-1.3130138436651004,"Thu nhập thấp nhưng chi tiêu trung bình, tần suất mua hàng ít. Nên tập trung vào sản phẩm giá cả phải chăng với giá trị cao.",0
47,Female,30449.0,24.0,High School,Single,18.0,Furniture,80.0,Employed,5.0,622.0,High,Low,Cash,No,-1.331043185691069,-0.9220487585679087,0.3609540971578983,"Thu nhập và chi tiêu đều thấp, tần suất mua hàng trung bình. Nên tập trung vào các chương trình khuyến mãi lớn hoặc ưu đãi giá rẻ.",3
48,Female,46004.0,24.0,Bachelor,Married,14.0,Beauty,82.0,Employed,3.0,620.0,High,Medium,Cash,Yes,-0.28767851091877583,-0.9220487585679087,-0.11732245736295852,"Thu nhập và chi tiêu đều thấp, tần suất mua hàng trung bình. Nên tập trung vào các chương trình khuyến mãi lớn hoặc ưu đãi giá rẻ.",4
49,Female,37239.0,80.0,High School,Married,25.0,Beauty,7.0,Employed,5.0,840.0,High,Medium,PayPal,No,-0.8755982392620191,1.0357016001379096,1.1979380675693976,"Thu nhập thấp nhưng chi tiêu cao, tần suất mua hàng nhiều. Khách hàng có nhu cầu cao, có thể gợi ý sản phẩm giá phù hợp hoặc chương trình trả góp.",0
50,Male,47595.0,25.0,Bachelor,Single,3.0,Furniture,89.0,Unemployed,1.0,334.0,High,Medium,Credit Card,Yes,-0.18096085115903826,-0.8870889307338762,-1.4325829822953147,"Thu nhập và chi tiêu đều thấp, tần suất mua hàng ít. Nên tập trung vào các chương trình khuyến mãi lớn hoặc ưu đãi giá rẻ.",1
51,Male,57388.0,3.0,Bachelor,Divorced,12.0,Fashion,62.0,Employed,5.0,567.0,Low,Low,Cash,No,0.4759128396185294,-1.6562051430825906,-0.3564607346233869,"Thu nhập trung bình, chi tiêu thấp, tần suất mua hàng trung bình. Cần gợi ý sản phẩm thiết yếu có giá hợp lý.",1
52,Female,54238.0,22.0,High School,Married,1.0,Electronics,48.0,Employed,5.0,542.0,Low,Low,Cash,No,0.2646239469452589,-0.9919684142359736,-1.6717212595557431,"Thu nhập trung bình, chi tiêu thấp, tần suất mua hàng ít. Cần gợi ý sản phẩm thiết yếu có giá hợp lý.",1
53,Male,63277.0,32.0,Master,Married,27.0,Beauty,89.0,Employed,4.0,379.0,Low,Low,Credit Card,Yes,0.8709224551591295,-0.6423701358956488,1.437076344829826,"Thu nhập trung bình, chi tiêu thấp, tần suất mua hàng nhiều. Cần gợi ý sản phẩm thiết yếu có giá hợp lý.",4
54,Female,42695.0,79.0,Bachelor,Single,25.0,Furniture,51.0,Employed,1.0,653.0,Low,Low,Credit Card,No,-0.5096324619841257,1.0007417723038772,1.1979380675693976,"Thu nhập thấp nhưng chi tiêu cao, tần suất mua hàng nhiều. Khách hàng có nhu cầu cao, có thể gợi ý sản phẩm giá phù hợp hoặc chương trình trả góp.",0
55,Male,24658.0,47.0,Bachelor,Divorced,8.0,Electronics,62.0,Employed,2.0,365.0,Medium,Medium,Installments,No,-1.719479369015167,-0.11797271838516184,-0.8347372891442437,"Thu nhập thấp nhưng chi tiêu trung bình, tần suất mua hàng ít. Nên tập trung vào sản phẩm giá cả phải chăng với giá trị cao.",0
56,Female,73950.0,76.0,Bachelor,Married,24.0,Electronics,20.0,Unemployed,5.0,433.0,Medium,Medium,Cash,Yes,1.586822884207325,0.8958622888017798,1.0783689289391836,"Thu nhập cao, chi tiêu cao, tần suất mua hàng nhiều. Khách VIP, có khả năng chi tiêu mạnh, cần ưu đãi đặc biệt và dịch vụ chăm sóc cao cấp.",2
57,Male,58218.0,25.0,Bachelor,Single,21.0,Furniture,36.0,Employed,3.0,632.0,Medium,Medium,Credit Card,Yes,0.5315857859419626,-0.8870889307338762,0.7196615130485409,"Thu nhập trung bình, chi tiêu thấp, tần suất mua hàng nhiều. Cần gợi ý sản phẩm thiết yếu có giá hợp lý.",4
58,Female,58915.0,37.0,High School,Married,27.0,Electronics,71.0,Student,4.0,741.0,Low,Medium,Credit Card,Yes,0.5783376456858578,-0.4675709967254865,1.437076344829826,"Thu nhập trung bình, chi tiêu thấp, tần suất mua hàng nhiều. Cần gợi ý sản phẩm thiết yếu có giá hợp lý.",4
59,Female,58089.0,16.0,PhD,Married,24.0,Electronics,21.0,Employed,4.0,413.0,Medium,Medium,Credit Card,No,0.5229330027182001,-1.2017273812401683,1.0783689289391836,"Thu nhập trung bình, chi tiêu thấp, tần suất mua hàng nhiều. Cần gợi ý sản phẩm thiết yếu có giá hợp lý.",4
60,Male,53867.0,66.0,Master,Single,7.0,Furniture,86.0,Employed,1.0,460.0,High,Low,Installments,No,0.23973881069707373,0.5462640104614551,-0.954306427774458,"Thu nhập và chi tiêu trung bình, tần suất mua hàng ít. Có thể cá nhân hóa đề xuất sản phẩm dựa trên sở thích và hành vi mua hàng.",0
61,Male,64872.0,100.0,High School,Married,2.0,Beauty,8.0,Employed,4.0,426.0,Medium,High,Cash,Yes,0.9779084182746427,1.734898156818559,-1.552152120925529,"Thu nhập trung bình nhưng chi tiêu cao, tần suất mua hàng ít. Cơ hội upsell tốt với các gói giá trị cao hơn hoặc quảng bá sản phẩm cao cấp.",0
62,Female,40155.0,82.0,High School,Single,12.0,Beauty,11.0,Employed,4.0,390.0,High,Low,PayPal,No,-0.68000509290162,1.1056212558059746,-0.3564607346233869,"Thu nhập thấp nhưng chi tiêu cao, tần suất mua hàng trung bình. Khách hàng có nhu cầu cao, có thể gợi ý sản phẩm giá phù hợp hoặc chương trình trả góp.",0
63,Male,61836.0,88.0,High School,Married,20.0,Fashion,47.0,Employed,3.0,775.0,Medium,Low,Credit Card,No,0.7742661712409762,1.3153802228101694,0.6000923744183266,"Thu nhập trung bình nhưng chi tiêu cao, tần suất mua hàng trung bình. Cơ hội upsell tốt với các gói giá trị cao hơn hoặc quảng bá sản phẩm cao cấp.",0
64,Female,55340.0,51.0,High School,Married,25.0,Electronics,92.0,Employed,5.0,644.0,High,Low,Credit Card,Yes,0.3385415214614317,0.021866592950968038,1.1979380675693976,"Thu nhập và chi tiêu trung bình, tần suất mua hàng nhiều. Có thể cá nhân hóa đề xuất sản phẩm dựa trên sở thích và hành vi mua hàng.",4
65,Male,51972.0,95.0,Bachelor,Married,6.0,Fashion,18.0,Employed,2.0,748.0,Low,High,Credit Card,Yes,0.11263009589839193,1.5600990176483966,-1.0738755664046722,"Thu nhập trung bình nhưng chi tiêu cao, tần suất mua hàng ít. Cơ hội upsell tốt với các gói giá trị cao hơn hoặc quảng bá sản phẩm cao cấp.",0
66,Male,42644.0,34.0,Bachelor,Single,2.0,Sports,43.0,Employed,2.0,499.0,High,High,Cash,No,-0.5130533297702644,-0.5724504802275839,-1.552152120925529,"Thu nhập và chi tiêu đều thấp, tần suất mua hàng ít. Nên tập trung vào các chương trình khuyến mãi lớn hoặc ưu đãi giá rẻ.",1
67,Female,53763.0,36.0,High School,Married,16.0,Furniture,74.0,Employed,1.0,307.0,Low,Low,PayPal,No,0.2327629234469086,-0.502530824559519,0.1218158198974699,"Thu nhập trung bình, chi tiêu thấp, tần suất mua hàng trung bình. Cần gợi ý sản phẩm thiết yếu có giá hợp lý.",4
68,Female,46877.0,76.0,Bachelor,Single,23.0,Fashion,2.0,Employed,3.0,586.0,Medium,High,Credit Card,No,-0.22912130352075516,0.8958622888017798,0.9587997903089693,"Thu nhập thấp nhưng chi tiêu cao, tần suất mua hàng nhiều. Khách hàng có nhu cầu cao, có thể gợi ý sản phẩm giá phù hợp hoặc chương trình trả góp.",0
69,Male,62841.0,67.0,Master,Married,22.0,Furniture,71.0,Employed,5.0,664.0,Medium,Low,Cash,Yes,0.8416773893795911,0.5812238382954875,0.8392306516787551,"Thu nhập và chi tiêu trung bình, tần suất mua hàng nhiều. Có thể cá nhân hóa đề xuất sản phẩm dựa trên sở thích và hành vi mua hàng.",0
70,Male,43066.0,62.0,Master,Single,25.0,Furniture,58.0,Employed,1.0,340.0,Medium,Medium,Credit Card,No,-0.48474732573594054,0.4064246991253252,1.1979380675693976,"Thu nhập thấp nhưng chi tiêu trung bình, tần suất mua hàng nhiều. Nên tập trung vào sản phẩm giá cả phải chăng với giá trị cao.",0
71,Male,34542.0,17.0,High School,Married,1.0,Sports,91.0,Employed,1.0,451.0,High,Medium,Credit Card,Yes,-1.056501776893705,-1.166767553406136,-1.6717212595557431,"Thu nhập và chi tiêu đều thấp, tần suất mua hàng ít. Nên tập trung vào các chương trình khuyến mãi lớn hoặc ưu đãi giá rẻ.",1
72,Male,58474.0,77.0,High School,Single,8.0,Furniture,62.0,Student,4.0,365.0,Low,Medium,PayPal,No,0.5487572007115998,0.9308221166358123,-0.8347372891442437,"Thu nhập trung bình nhưng chi tiêu cao, tần suất mua hàng ít. Cơ hội upsell tốt với các gói giá trị cao hơn hoặc quảng bá sản phẩm cao cấp.",0
73,Male,81608.0,99.0,High School,Married,14.0,Fashion,87.0,Retired,4.0,494.0,High,Medium,PayPal,No,2.100489658839676,1.6999383289845265,-0.11732245736295852,"Thu nhập cao, chi tiêu cao, tần suất mua hàng trung bình. Khách VIP, có khả năng chi tiêu mạnh, cần ưu đãi đặc biệt và dịch vụ chăm sóc cao cấp.",2
74,Female,53844.0,41.0,Bachelor,Single,19.0,Electronics,2.0,Retired,1.0,387.0,High,Low,Credit Card,Yes,0.23819606640136412,-0.32773168538935665,0.4805232357881125,"Thu nhập và chi tiêu trung bình, tần suất mua hàng trung bình. Có thể cá nhân hóa đề xuất sản phẩm dựa trên sở thích và hành vi mua hàng.",4
75,Male,47827.0,96.0,PhD,Married,17.0,Sports,69.0,Employed,4.0,431.0,High,Medium,Cash,No,-0.16539925652405452,1.5950588454824293,0.2413849585276841,"Thu nhập thấp nhưng chi tiêu cao, tần suất mua hàng trung bình. Khách hàng có nhu cầu cao, có thể gợi ý sản phẩm giá phù hợp hoặc chương trình trả góp.",0
76,Male,76827.0,53.0,High School,Married,9.0,Electronics,42.0,Employed,3.0,718.0,Medium,Medium,Cash,Yes,1.7798000728489123,0.09178624861903298,-0.7151681505140295,"Thu nhập cao, chi tiêu trung bình, tần suất mua hàng ít. Khuyến nghị nâng cấp sản phẩm hoặc dịch vụ để tối ưu trải nghiệm khách hàng.",1
77,Female,56892.0,84.0,Bachelor,Married,20.0,Furniture,56.0,Employed,2.0,647.0,Low,Low,Cash,No,0.4426432235023573,1.1755409114740396,0.6000923744183266,"Thu nhập trung bình nhưng chi tiêu cao, tần suất mua hàng trung bình. Cơ hội upsell tốt với các gói giá trị cao hơn hoặc quảng bá sản phẩm cao cấp.",0
78,Male,47774.0,84.0,Bachelor,Married,5.0,Electronics,55.0,Student,3.0,585.0,High,Low,Cash,No,-0.16895427598808097,1.1755409114740396,-1.1934447050348862,"Thu nhập thấp nhưng chi tiêu cao, tần suất mua hàng ít. Khách hàng có nhu cầu cao, có thể gợi ý sản phẩm giá phù hợp hoặc chương trình trả góp.",0
79,Female,75736.0,52.0,Bachelor,Married,19.0,Groceries,39.0,Unemployed,1.0,815.0,Medium,Low,Credit Card,No,1.7066203325611222,0.056826420785000505,0.4805232357881125,"Thu nhập cao, chi tiêu trung bình, tần suất mua hàng trung bình. Khuyến nghị nâng cấp sản phẩm hoặc dịch vụ để tối ưu trải nghiệm khách hàng.",2
80,Female,38936.0,79.0,High School,Married,16.0,Fashion,17.0,Student,3.0,734.0,Medium,Low,Cash,No,-0.7617705405742285,1.0007417723038772,0.1218158198974699,"Thu nhập thấp nhưng chi tiêu cao, tần suất mua hàng trung bình. Khách hàng có nhu cầu cao, có thể gợi ý sản phẩm giá phù hợp hoặc chương trình trả góp.",0
81,Male,45001.0,17.0,High School,Married,24.0,Electronics,100.0,Retired,5.0,321.0,High,High,Credit Card,No,-0.35495557737950295,-1.166767553406136,1.0783689289391836,"Thu nhập và chi tiêu đều thấp, tần suất mua hàng nhiều. Nên tập trung vào các chương trình khuyến mãi lớn hoặc ưu đãi giá rẻ.",4
