CustomerID,Gender,Income,SpendingScore,EducationLevel,MaritalStatus,PurchaseFrequency,ProductCategory,LoyaltyScore,EmploymentStatus,HouseholdSize,CreditScore,OnlineShoppingHabit,DiscountSensitivity,PreferredPaymentMethod,SubscriptionStatus
130,Female,46502,58,Bachelor,Married,18,Sports,5,Employed,4,619,Low,Low,Credit Card,No
131,Female,33014,11,High School,Married,25,Furniture,52,Student,1,780,Low,Low,Installments,No
132,Female,58621,96,Bachelor,Married,28,Groceries,45,Retired,4,741,High,Medium,Credit Card,No
133,Female,57454,73,Bachelor,Divorced,16,Fashion,72,Student,5,753,Medium,Medium,Installments,Yes
134,Male,47997,18,Master,Single,1,Electronics,21,Employed,2,391,Low,Medium,Credit Card,Yes
135,Female,55668,7,High School,Married,21,Beauty,79,Employed,1,804,High,High,Credit Card,No
136,Female,33959,86,High School,Single,12,Groceries,81,Student,5,594,Low,Medium,Credit Card,Yes
137,Female,64167,77,Master,Single,19,Fashion,74,Retired,5,408,High,Low,Cash,No
138,Male,41491,93,Bachelor,Married,21,Electronics,19,Employed,5,576,High,Low,Credit Card,No
139,Female,75183,66,Master,Single,14,Fashion,38,Employed,1,592,Medium,Medium,Cash,No
140,Female,45154,56,Bachelor,Married,24,Groceries,77,Employed,3,608,Medium,High,PayPal,No
141,Male,43243,47,Bachelor,Single,27,Groceries,6,Employed,3,507,Medium,Low,Credit Card,No
142,Male,47051,90,Bachelor,Divorced,8,Groceries,80,Employed,1,432,Medium,High,Credit Card,Yes
143,Female,58782,17,High School,Single,22,Groceries,76,Unemployed,5,728,Low,Medium,Cash,No
144,Female,71692,12,Bachelor,Single,29,Groceries,84,Employed,5,725,Medium,Medium,Credit Card,Yes
145,Female,55362,79,Bachelor,Single,18,Beauty,80,Employed,3,549,Medium,Low,Cash,No
146,Male,82051,66,Bachelor,Single,7,Beauty,22,Employed,5,385,Medium,Medium,PayPal,No
147,Male,37671,22,High School,Single,5,Electronics,84,Student,2,427,Low,Medium,PayPal,No
148,Male,46934,82,Master,Single,17,Furniture,18,Student,1,422,High,Low,Credit Card,No
149,Male,33379,45,PhD,Single,4,Beauty,69,Student,5,505,High,Low,Credit Card,No
150,Female,42440,19,Master,Single,6,Furniture,34,Retired,4,339,Medium,High,Cash,No
151,Female,40097,61,Bachelor,Married,18,Electronics,83,Unemployed,4,730,Medium,High,Credit Card,Yes
152,Female,27996,72,Bachelor,Divorced,21,Groceries,87,Retired,2,752,Medium,Low,Installments,No
153,Female,64028,7,Bachelor,Single,18,Sports,58,Employed,4,533,Low,Medium,Credit Card,Yes
154,Male,58873,91,Master,Married,25,Beauty,56,Employed,3,694,High,Low,Cash,Yes
155,Male,44002,22,Bachelor,Single,4,Furniture,70,Student,5,633,Medium,Medium,Cash,No
156,Male,54815,16,Master,Divorced,8,Groceries,98,Employed,4,399,Medium,Low,Credit Card,Yes
157,Female,43799,24,Bachelor,Single,28,Sports,7,Employed,3,553,High,Medium,Credit Card,No
158,Male,46636,83,High School,Divorced,,Groceries,67,Employed,1,752,Low,Medium,Cash,No
159,Female,57587,62,High School,Single,23,Beauty,9,Employed,3,315,Medium,High,Installments,No
160,Male,49746,87,Master,Divorced,15,Furniture,43,Unemployed,4,494,Medium,High,Credit Card,No
161,Male,50254,63,Master,Single,11,Furniture,4,Employed,1,516,Medium,Low,Credit Card,Yes
162,Male,21321,33,Master,Married,22,Beauty,34,Student,5,632,Low,Medium,Credit Card,No
163,Male,62312,67,Bachelor,Married,6,Fashion,73,Employed,3,674,Low,Medium,Credit Card,No
164,Female,69550,60,High School,Single,9,Beauty,83,Unemployed,5,391,Low,Medium,PayPal,No
165,Female,65394,41,Bachelor,Single,7,Groceries,5,Employed,5,769,Medium,Low,Installments,No
166,Male,41998,48,Master,Single,25,Fashion,80,Employed,4,581,Medium,High,Credit Card,No
167,Female,64654,9,Bachelor,Single,5,Groceries,76,Retired,3,711,High,Medium,Credit Card,No
168,Female,56485,52,Bachelor,Single,5,Furniture,97,Student,4,337,Low,Low,PayPal,Yes
169,Female,37020,38,High School,Married,28,Beauty,33,Retired,4,401,Medium,Low,Credit Card,No
170,Male,45466,43,Master,Married,29,Beauty,79,Unemployed,4,531,High,Low,PayPal,No
171,Female,48500,69,Bachelor,Single,7,Electronics,42,Student,2,747,Low,Medium,Credit Card,No
172,Male,15032,75,High School,Married,14,Fashion,88,Employed,1,596,Medium,Low,Credit Card,Yes
173,Male,52918,2,Bachelor,Divorced,25,Beauty,18,Employed,5,642,Low,Medium,PayPal,No
174,Male,33151,80,High School,Married,16,Sports,56,Employed,4,394,Low,Low,Cash,No
175,Female,34163,54,Master,Married,22,Fashion,20,Employed,4,483,High,Low,Credit Card,No
176,Female,52340,7,Bachelor,Divorced,19,Fashion,85,Employed,3,837,Low,Medium,Cash,No
177,Female,44832,71,High School,Single,2,Fashion,8,Employed,3,619,Low,High,Credit Card,No
178,Female,35001,34,Bachelor,Married,8,Groceries,92,Employed,1,654,Low,Low,Credit Card,Yes
179,Female,52280,26,High School,Married,28,Electronics,46,Employed,1,350,Medium,Medium,Cash,No
180,Female,37123,55,High School,Single,13,Electronics,54,Retired,4,416,Medium,Medium,PayPal,No
181,Male,37084,68,Master,Married,26,Fashion,58,Employed,2,832,High,Low,Credit Card,No
182,Female,67647,95,Master,Married,13,Fashion,4,Retired,1,567,Low,Medium,Cash,No
183,Male,52402,90,Master,Divorced,26,Fashion,86,Employed,1,787,Low,Medium,PayPal,No
184,Female,54958,88,PhD,Single,26,Sports,67,Employed,5,363,Low,Medium,Credit Card,No
185,Female,73512,58,Bachelor,Single,21,Groceries,20,Unemployed,5,547,Low,Medium,Credit Card,No
186,Female,46511,15,High School,Married,27,Electronics,98,Retired,3,419,Medium,Low,Credit Card,Yes
187,Male,40489,20,Master,Married,11,Furniture,8,Unemployed,1,633,High,Low,Credit Card,Yes
188,Female,40722,53,PhD,Married,13,Groceries,60,Employed,2,344,High,Low,Credit Card,Yes
189,Male,77758,70,High School,Married,20,Groceries,90,Employed,4,566,Medium,Medium,Installments,No
190,Male,48570,56,Master,Single,8,Sports,72,Employed,4,604,Low,Medium,Credit Card,No
191,Female,36041,6,Bachelor,Divorced,14,Groceries,11,Retired,5,622,High,Medium,Credit Card,Yes
192,Female,52000,99,Bachelor,Married,23,Electronics,67,Employed,3,596,High,Medium,Credit Card,No
193,Male,40667,70,High School,Married,28,Electronics,44,Employed,3,788,Low,Medium,Credit Card,Yes
194,Female,43849,83,High School,Married,27,Beauty,65,Employed,3,843,Medium,High,Credit Card,No
195,Female,74435,73,Master,Divorced,24,Groceries,11,Employed,1,504,Low,Low,Installments,No
196,Male,51893,19,Bachelor,Married,18,Electronics,74,Employed,1,420,Low,Medium,Credit Card,No
197,Female,30814,43,Bachelor,Married,7,Electronics,21,Employed,2,387,,Medium,Cash,Yes
198,Male,43394,91,High School,Single,7,Fashion,30,Employed,4,584,Low,Medium,Credit Card,No
199,Female,22229,11,Bachelor,Single,7,Furniture,39,Employed,4,524,High,High,Credit Card,Yes
200,Male,38619,3,High School,Single,21,Fashion,94,Retired,3,369,High,Low,PayPal,No
201,Male,65040,83,Master,Single,15,Furniture,57,Student,5,504,Medium,High,Credit Card,No
202,Female,39154,53,High School,Single,14,Furniture,66,Employed,3,598,Medium,Medium,Cash,No
203,Female,89636,90,High School,Single,6,Groceries,97,Employed,4,338,High,Low,Cash,No
204,Female,10805,34,Bachelor,Married,20,Electronics,100,Student,4,470,High,Low,Credit Card,No
205,Male,43349,37,High School,Single,27,Electronics,78,Unemployed,5,823,Medium,Medium,Credit Card,No
206,Male,51693,89,Bachelor,Single,2,Fashion,61,Employed,3,549,Low,Medium,Credit Card,No
207,Female,50911,58,Bachelor,Single,12,Electronics,85,Employed,4,693,Low,Medium,Credit Card,No
208,Male,58446,78,Bachelor,Divorced,28,Fashion,6,Retired,3,809,Medium,Medium,PayPal,No
209,Female,45881,88,High School,Single,20,Beauty,28,Employed,2,630,High,Medium,Credit Card,No
210,Male,68796,66,Bachelor,Single,16,Groceries,23,Student,2,642,High,Medium,Cash,No
211,Male,31554,28,PhD,Single,19,Sports,49,Unemployed,4,472,Medium,Medium,Credit Card,No
212,Female,46430,73,Bachelor,Single,19,Electronics,28,Student,2,437,Medium,Medium,PayPal,No
213,Female,33284,26,High School,Married,13,Electronics,26,Employed,5,384,Low,Low,Credit Card,No
214,Male,42574,17,High School,Single,27,Electronics,88,Employed,3,455,High,Medium,Credit Card,No
215,Female,46143,27,High School,Married,5,Fashion,22,Student,4,624,Low,High,Credit Card,No
216,Female,59277,83,High School,Single,26,Electronics,42,Student,2,338,Medium,High,PayPal,Yes
217,Female,34799,89,PhD,Single,14,Electronics,31,Student,1,609,Low,Medium,Credit Card,No
218,Female,45824,55,Bachelor,Divorced,4,Fashion,18,Employed,4,770,Medium,Low,Installments,Yes
219,Female,50313,78,High School,Married,24,Beauty,45,Employed,2,504,High,Low,Installments,No
220,Male,52162,11,High School,Divorced,6,Beauty,29,Student,1,563,High,Medium,Installments,No
221,Female,33331,79,High School,Married,5,Fashion,73,Unemployed,3,549,High,Low,PayPal,No
222,Female,53503,56,High School,Single,15,Furniture,22,Employed,2,418,Medium,Low,Credit Card,No
223,Male,67505,4,Bachelor,Single,24,Beauty,74,Employed,4,411,Medium,Low,PayPal,Yes
224,Male,67326,77,High School,Single,15,Groceries,27,Employed,3,344,Medium,Medium,PayPal,No
225,Female,45829,82,Bachelor,Married,14,Groceries,70,Student,4,361,Low,Low,Credit Card,Yes
226,Male,57792,39,Master,Divorced,20,Beauty,49,Unemployed,1,551,Medium,Low,Credit Card,No
227,Male,47566,20,Master,Single,6,Groceries,34,Employed,4,789,Medium,Medium,Credit Card,No
228,Male,65978,24,High School,Single,4,Groceries,19,Employed,2,699,Low,Medium,PayPal,No
229,Male,60175,87,High School,Single,12,,42,Student,4,581,High,High,Cash,Yes
230,Female,32602,89,Master,Single,12,Groceries,14,Employed,2,550,Medium,Low,Cash,No
231,Male,47704,51,Bachelor,Married,27,Groceries,95,Student,2,365,Medium,High,Credit Card,No
232,Male,40148,89,Master,Single,23,Beauty,71,Unemployed,5,704,High,High,Credit Card,No
233,Male,48572,26,Master,Married,22,Fashion,53,Employed,2,456,Medium,Low,Credit Card,No
234,Female,32710,33,High School,Single,19,Fashion,17,Employed,5,408,Low,Medium,Credit Card,No
235,Female,48219,54,Bachelor,Single,27,Fashion,25,Unemployed,3,389,Medium,Low,Credit Card,No
236,Male,47686,74,Master,Single,11,Electronics,99,Employed,5,644,Low,Low,PayPal,No
237,Female,48100,92,Bachelor,Married,10,Fashion,39,Employed,5,498,High,Medium,Credit Card,No
238,Male,53805,29,PhD,Single,5,Groceries,35,Employed,1,588,Low,Medium,Credit Card,Yes
239,Female,26870,60,Bachelor,Married,17,Electronics,39,Employed,3,694,Low,High,Credit Card,No
240,Male,61708,46,High School,Married,10,Beauty,17,Student,2,650,High,Medium,Cash,Yes
241,Female,62594,87,High School,Married,20,Fashion,10,Employed,5,557,Medium,Medium,PayPal,Yes
242,Male,71086,54,High School,Single,8,Electronics,59,Employed,2,524,Medium,Low,Cash,Yes
243,Female,48546,46,Bachelor,Divorced,29,Furniture,18,Retired,2,569,Medium,Low,Cash,Yes
244,Male,53903,8,Bachelor,Single,29,Furniture,36,Student,2,584,High,Medium,PayPal,No
245,Male,65688,31,High School,Married,23,Groceries,27,Employed,4,381,Low,Medium,PayPal,No
246,Female,39467,98,PhD,Single,25,Beauty,97,Employed,3,646,Low,High,PayPal,No
247,Female,57375,15,High School,Single,24,Sports,80,Student,2,731,High,High,Credit Card,No
248,Male,38948,87,Bachelor,Single,12,Furniture,18,Employed,5,769,Medium,High,Credit Card,No
249,Male,57757,49,Bachelor,Single,11,Beauty,51,Employed,3,507,High,Medium,Installments,No
250,Male,55889,77,Bachelor,Single,3,Groceries,63,Employed,3,756,Medium,Low,Installments,No
251,Female,36562,9,Bachelor,Married,27,Electronics,3,Retired,3,386,High,Medium,PayPal,No
252,Female,57660,65,Bachelor,Single,18,Beauty,79,Employed,1,317,Medium,Medium,Cash,No
253,Male,43428,17,Bachelor,Married,1,Beauty,100,Employed,5,817,Medium,Medium,Installments,No
254,Female,47572,80,Master,Married,6,Electronics,78,Retired,4,828,High,Medium,Credit Card,Yes
255,Male,62218,80,Bachelor,Single,8,Furniture,78,Employed,5,728,Medium,High,PayPal,No
256,Female,66158,82,Bachelor,Divorced,8,Sports,94,Student,4,675,High,Low,Credit Card,No
257,Female,56224,20,Bachelor,Single,16,Furniture,75,Employed,1,768,Medium,Low,Credit Card,No
258,Male,50193,51,Bachelor,Married,4,Furniture,11,Unemployed,2,516,High,Medium,Installments,No
259,Male,60576,7,Master,Single,5,Sports,44,Employed,2,821,Medium,High,PayPal,No
260,Female,45118,60,Bachelor,Divorced,29,Fashion,84,Employed,5,458,Low,Medium,Credit Card,Yes
261,Female,63429,93,High School,Single,27,Sports,77,Employed,4,436,Low,Low,Cash,No
262,Female,40738,9,Bachelor,Single,5,Beauty,11,Employed,4,842,Low,Medium,Credit Card,Yes
263,Male,46735,78,Master,Single,10,Fashion,71,Employed,5,335,Low,Medium,Credit Card,No
264,Male,36064,98,High School,Married,27,Sports,35,Employed,3,662,Medium,High,Cash,Yes
265,Female,48738,73,Bachelor,Married,16,Groceries,62,Employed,1,334,Medium,Medium,Cash,No
266,Female,72740,38,Master,Single,18,Beauty,26,Employed,2,455,Low,Low,Credit Card,No
267,Female,72853,22,High School,Married,5,Groceries,92,Employed,2,490,Medium,Medium,Credit Card,No
268,Male,74424,41,Bachelor,Married,4,Electronics,56,Employed,2,625,Low,Medium,Cash,No
269,Female,40384,68,Bachelor,Single,29,Electronics,6,Employed,5,410,High,Medium,Credit Card,No
270,Female,90614,20,Bachelor,Married,9,Electronics,50,Employed,5,664,Medium,Medium,Credit Card,No
271,Male,67747,52,Bachelor,Single,4,Fashion,77,Unemployed,4,539,Low,Medium,PayPal,No
272,Male,65282,73,High School,Married,11,Electronics,4,Employed,,764,Medium,Low,Cash,No
273,Male,53740,99,Master,Divorced,23,Furniture,48,Employed,5,611,Low,Medium,Credit Card,Yes
274,Female,26568,21,Bachelor,Divorced,23,Electronics,71,Employed,2,841,High,Low,Installments,No
275,Female,40603,27,High School,Married,21,Furniture,20,Unemployed,1,592,Medium,Low,Credit Card,Yes
276,Female,43737,50,High School,Single,19,Fashion,14,Unemployed,1,813,Low,Medium,Installments,No
277,Female,47765,97,Master,Married,22,Groceries,34,Unemployed,1,561,High,Low,Cash,No
278,Male,43591,76,High School,Married,19,Beauty,91,Employed,5,306,High,Medium,Credit Card,No
279,Female,49582,74,Master,Single,28,Electronics,13,Unemployed,1,494,Medium,Medium,Credit Card,Yes
280,Female,57172,2,PhD,Married,8,Electronics,21,Student,2,362,Low,Medium,Credit Card,No
281,Female,51134,87,Master,Married,9,Beauty,43,Student,5,845,Medium,Medium,Credit Card,Yes
282,Male,46997,23,Bachelor,Single,16,Sports,79,Retired,3,588,High,Medium,Credit Card,No
